"IBGE","UF","MUNICIPIO","CNES","NOME FANTASIA","RAZAO SOCIAL","CNPJ PROPRIO","CNPJ MANTENEDORA","TIPO GESTAO","LOGRADOURO","NUMERO","BAIRRO","CEP","LATITUDE","LONGITUDE"
431440,"RS","PELOTAS",2253046,"UCPEL HOSPITAL UNIVERSITARIO SAO FRANCISCO DE PAULA","ASSOCIACAO PELOTENSE DE ASSISTENCIA E CULTURA","92238914000294",NA,"M","RUA MARECHAL DEODORO","1123","CENTRO",96020220,"-3175756","-5234074"
431490,"RS","PORTO ALEGRE",3006522,"HOSPITAL MOINHOS DE VENTO","ASSOCIACAO HOSPITALAR MOINHOS DE VENTO","92685833000151",NA,"M","RUA RAMIRO BARCELOS","910","MOINHOS DE VENTO",90035001,"-3002756","-5120873"
431490,"RS","PORTO ALEGRE",3007847,"HOSPITAL MAE DE DEUS","ASSOCIACAO EDUCADORA SAO CARLOS AESC","88625686002443",NA,"M","RUA JOSE DE ALENCAR","286","MENINO DEUS",90880480,"-3005957","-5122884"
430160,"RS","BAGE",2261987,"SANTA CASA DE CARIDADE DE BAGE","SANTA CASA DE CARIDADE DE BAGE","87408845000107",NA,"E","RUA GOMES CARNEIRO","1350","CENTRO",96400130,"-31331","-54107"
430350,"RS","CAMAQUA",2257548,"HOSPITAL NOSSA SENHORA APARECIDA DE CAMAQUA","FUNDACAO ASSISTENCIAL E BENEFICENTE DE CAMAQUA","88358940000106",NA,"D","CRISTOVAO GOMES DE ANDRADE","665","CENTRO",96180000,"-3084912","-5181315"
431350,"RS","OSORIO",2257815,"HOSPITAL SAO VICENTE DE PAULO","ASSOCIACAO BENEFICENTE SAO VICENTE DE PAULO","91884957000101",NA,"D","JOAO SARMENTO","391","CENTRO",95520000,"-298864","-5026534"
431490,"RS","PORTO ALEGRE",2237253,"IRMANDADE DA SANTA CASA DE MISERICORDIA DE PORTO ALEGRE","IRMANDADE DA SANTA CASA DE MISERICORDIA DE PORTO ALEGRE","92815000000168",NA,"M","R PROF ANNES DIAS","295","CENTRO",90020090,"-30033","-51.23"
431490,"RS","PORTO ALEGRE",2237598,"HOSPITAL DIVINA PROVIDENCIA","SOCIEDADE SULINA DIVINA PROVIDENCIAHOSPITAL DIVINA PROVIDEN","87317764001084",87317764000193,"M","RUA DA GRUTA","145","CASCATA",91712160,"-3007949","-5119285"
431490,"RS","PORTO ALEGRE",2237601,"HOSPITAL DE CLINICAS","HOSPITAL DE CLINICAS DE PORTO ALEGRE","87020517000120",NA,"M","RUA RAMIRO BARCELOS","2350","SANTANA",90035903,"-3004234","-5120821"
431690,"RS","SANTA MARIA",2244276,"HOSPITAL DE CARIDADE ASTROGILDO DE AZEVEDO","HOSPITAL DE CARIDADE DR ASTROGILDO DE AZEVEDO","95610887000146",NA,"E","PRESIDENTE VARGAS","2291","CENTRO",97015513,"-2969199","-5380695"
431490,"RS","PORTO ALEGRE",2262568,"HOSPITAL SAO LUCAS DA PUCRS","UNIAO BRASILEIRA DE EDUCACAO E ASSISTENCIA","88630413000796",88630413000109,"M","IPIRANGA","6690","JARDIM BOTANICO",90610000,"-3005488","-5117581"
431490,"RS","PORTO ALEGRE",2265052,"HOSPITAL FEMINA","HOSPITAL NOSSA SENHORA DA CONCEICAO S A","92787118000200",NA,"M","RUA MOSTARDEIRO","17","RIO BRANCO",90430001,"-3002916","-5120686"
431870,"RS","SAO LEOPOLDO",2232022,"HOSPITAL CENTENARIO","FUNDACAO HOSPITAL CENTENARIO","92931245000150",NA,"M","AV THEODOMIRO PORTO DA FONSECA","799","FIAO",93020645,"-2977629","-5114856"
432000,"RS","SAPUCAIA DO SUL",2232162,"FUNDACAO HOSPITALAR DE SAPUCAIA DO SUL","MUNICIPIO DE SAPUCAIA DO SUL",NA,88185020000125,"M","RUA PINHEIRO MACHADO","331","DIEHL",93210180,"-2982428","-5116577"
431690,"RS","SANTA MARIA",5922216,"HOSPITAL CASA DE SAUDE","ASSOCIACAO FRANCISCANA DE ASSISTENCIA A SAUDE","3066309000920",NA,"D","RUA ARY LAGRANHA DOMINGUES","188","PERPETUO SOCORRO",97045060,"-2967222","-5380801"
431440,"RS","PELOTAS",2253054,"SANTA CASA DE MISERICORDIA DE PELOTAS","SANTA CASA DE MISERICORDIA DE PELOTAS","92219559000125",NA,"M","PCA PIRATININO DE ALMEIDA","53","CENTRO",96015290,"-3176568","-5234693"
432250,"RS","VACARIA",2241048,"HOSPITAL NOSSA SENHORA DA OLIVEIRA","HOSPITAL NOSSA SENHORA DA OLIV EIRA","15415694000103",NA,"M","RUA PINHEIRO MACHADO","448","CENTRO",95200000,"-2850400","-5093529"
431410,"RS","PASSO FUNDO",2246988,"HOSPITAL SAO VICENTE DE PAULO","ASSOCIACAO HOSPITALAR BENEFICENTE SAO VICENTE DE PAULO","92021062000106",NA,"E","TEIXEIRA SOARES","808","CENTRO",99010080,"-2826025","-5241364"
430510,"RS","CAXIAS DO SUL",2223538,"HOSPITAL GERAL","FUNDACAO UNIVERSIDADE DE CAXIAS DO SUL","88648761001843",NA,"M","RUA PROFESSOR ANTONIO VIGNOLLI","255","PETROPOLIS",95070561,"-29168","-51179"
431720,"RS","SANTA ROSA",2254611,"HOSPITAL VIDA SAUDE","ASSOCIACAO HOSPITALAR CARIDADE SANTA ROSA","95815668000101",NA,"M","DOUTOR FRANCISCO TIMM","656","CENTRO",98780803,"-2786704","-5448533"
431490,"RS","PORTO ALEGRE",2237822,"HOSPITAL MATERNO INFANTIL PRESIDENTE VARGAS","HOSPITAL MATERNO INFANTIL PRESIDENTE VARGAS",NA,92963560000160,"M","INDEPENDENCIA","661","INDEPENDENCIA",90035076,"-30033","-51.23"
431490,"RS","PORTO ALEGRE",2237571,"HOSPITAL NOSSA SENHORA DA CONCEICAO SA","HOSPITAL NOSSA SENHORA DA CONCEICAO SA","92787118000120",NA,"M","AV FRANCISCO TREIN","596","CRISTO REDENTOR",91350200,"-3001602","-5115865"
431140,"RS","LAJEADO",2252287,"HOSPITAL BRUNO BORN","SOCIEDADE BENEFICENCIA E CARIDADE DE LAJEADO","91162511000165",NA,"M","AV BENJAMIN CONSTANT","881","CENTRO",95900010,"-29467","-51961"
431690,"RS","SANTA MARIA",2244306,"HUSM HOSPITAL UNIVERSITARIO DE SANTA MARIA","HOSPITAL UNIVERSITARIO DE SANTA MARIA EBSERH","95591764001420",NA,"E","AVN RORAIMA PREDIO 22","1000","CAMOBI",97105900,"-29684","-53807"
431990,"RS","SAPIRANGA",2232154,"HOSPITAL SAPIRANGA","SOCIEDADE BENEFICENTE SAPIRANGUENSE","97279350000170",NA,"D","GETULIO VARGAS","527","CENTRO",93800048,"-2964060","-5100720"
430060,"RS","ALVORADA",2232081,"HOSPITAL ALVORADA","FUNDACAO UNIVERSITARIA DE CARDIOLOGIA","92898550000279",NA,"D","RUA JACI ZAMIN","170","TRES FIGUEIRAS",94814300,"-3000848","-5107438"
431840,"RS","SAO JERONIMO",2227886,"HCSJ HOSPITAL DE CARIDADE SAO JERONIMO","ASSOCIACAO DOS FUNCIONARIOS PUBLICOS DO ESTADO DO RGSUL","92741016000416",NA,"E","RUA RIO BRANCO","1008","BELA VISTA",96700000,"-2995939","-5171698"
431240,"RS","MONTENEGRO",2257556,"HOSPITAL MONTENEGRO","ASSOCIACAO ORDEM AUXILIADORA DE SENHORAS EVANGELICAS DE MONT","91365718000137",NA,"D","RUA ASSIS BRASIL","1621","CENTRO",95780000,"-2968708","-5146397"
