"CODESTAB","CODMUNNASC","n_nascimentos","ANONASC","n_anomalias"
"2316080",150250,31,2010,0
"2316161",150640,40,2010,0
"2316234",150200,188,2010,0
"2316277",150770,1,2010,0
"2316285",150770,1,2010,0
"2316366",150150,428,2010,3
"2316374",150150,1,2010,0
"2316447",150150,1,2010,0
"2316552",150790,446,2010,0
"2316668",150613,166,2010,0
"2316757",150390,946,2010,1
"2316773",150390,9,2010,0
"2316803",150390,6,2010,0
"2316846",150635,4,2010,0
"2316889",150293,131,2010,0
"2316919",150350,12,2010,0
"2316951",150350,6,2010,0
"2317028",150812,340,2010,7
"2317230",150307,6,2010,0
"2317249",150495,1,2010,0
"2317397",150330,503,2010,2
"2317532",150410,2,2010,0
"2317621",150180,4,2010,0
"2317958",150720,205,2010,0
"2317990",150616,311,2010,2
"2318059",150276,36,2010,0
"2318172",150808,262,2010,0
"2318180",150808,562,2010,0
"2318326",150616,14,2010,0
"2318482",150010,1225,2010,2
"2318628",150550,1887,2010,6
"2318644",150550,122,2010,0
"2318652",150550,23,2010,0
"2318660",150010,419,2010,0
"2318687",150010,197,2010,0
"2318695",150010,565,2010,0
"2318865",150543,445,2010,1
"2318911",150840,1,2010,0
"2318938",150840,1,2010,0
"2319667",140002,10,2010,0
"2319683",140002,2,2010,0
"2319950",140005,3,2010,0
"2319985",140045,2,2010,0
"2320045",140015,57,2010,0
"2320185",140070,40,2010,0
"2320398",140040,1,2010,0
"2320541",140040,80,2010,1
"2320665",140010,1,2010,0
"2320762",140028,3,2010,0
"2320800",140060,10,2010,0
"2320878",140030,1,2010,0
"2320886",140030,21,2010,0
"2322846",150815,40,2010,0
"2328496",150080,1701,2010,5
"2328534",150080,489,2010,1
"2328542",150080,386,2010,1
"2328658",150080,3,2010,0
"2328755",150080,467,2010,4
"2328798",150080,130,2010,1
"2328879",150080,1,2010,0
"2328968",150270,294,2010,0
"2328976",150270,95,2010,0
"2328992",150270,466,2010,3
"2329204",150380,4,2010,0
"2329212",150380,1,2010,0
"2329387",150013,55,2010,1
"2329484",150020,511,2010,0
"2329506",150020,6,2010,0
"2329743",150470,2,2010,0
"2329891",150680,2186,2010,5
"2329905",150680,905,2010,7
"2329913",150680,1166,2010,6
"2330059",150680,55,2010,0
"2330083",150680,825,2010,2
"2330113",150680,1,2010,0
"2330318",150680,1,2010,0
"2330350",150060,221,2010,0
"2330636",150060,1,2010,0
"2330652",150060,12,2010,0
"2330725",150060,1,2010,0
"2330830",150060,1906,2010,4
"2330938",150085,378,2010,5
"2330946",150780,53,2010,0
"2330962",150230,625,2010,1
"2330970",150350,117,2010,3
"2330997",150360,707,2010,4
"2331004",150360,56,2010,0
"2331012",150360,301,2010,3
"2331020",150360,140,2010,0
"2331098",150360,596,2010,5
"2331101",150360,416,2010,2
"2331292",150619,405,2010,2
"2331403",150600,3,2010,0
"2331446",150600,1,2010,0
"2331470",150050,78,2010,0
"2331500",150300,132,2010,1
"2331519",150503,1,2010,0
"2331578",150503,321,2010,2
"2331691",150375,186,2010,1
"2331748",150050,532,2010,8
"2331756",150600,350,2010,0
"2331845",150285,57,2010,0
"2331861",150040,1177,2010,12
"2331969",150530,181,2010,1
"2332299",150510,833,2010,4
"2332310",150050,7,2010,0
"2332450",150100,2,2010,0
"2332469",150100,57,2010,0
"2332620",150140,3305,2010,14
"2332639",150140,1,2010,0
"2332671",150140,4092,2010,20
"2332809",150140,1,2010,0
"2332876",150140,3,2010,0
"2332930",150140,2915,2010,12
"2333007",150140,11,2010,0
"2333015",150140,426,2010,0
"2333031",150140,1152,2010,13
"2333112",150140,2663,2010,10
"2333228",150140,631,2010,1
"2333430",150745,508,2010,0
"2333511",150658,1,2010,0
"2333538",150658,135,2010,0
"2333570",150658,1,2010,0
"2333589",150658,5,2010,0
"2334356",150220,127,2010,1
"2334798",110005,1,2010,0
"2334801",110005,155,2010,0
"2337274",150140,8,2010,0
"2337347",150140,6,2010,0
"2340992",150140,2204,2010,18
"2359634",170830,11,2010,0
"2359707",171488,5,2010,0
"2360411",150800,1141,2010,4
"2369923",110070,2,2010,1
"2370328",170900,125,2010,0
"2370344",172120,569,2010,2
"2370476",172030,2,2010,0
"2370492",172080,26,2010,0
"2370662",172015,1,2010,0
"2370670",170560,6,2010,0
"2370689",170390,6,2010,0
"2370727",170410,1,2010,0
"2370794",170720,2,2010,0
"2418657",150180,1689,2010,11
"2418665",150210,1801,2010,12
"2418673",150304,241,2010,1
"2467577",171850,11,2010,0
"2467631",171330,1,2010,0
"2468166",170110,5,2010,0
"2468182",170310,2,2010,0
"2468271",171650,424,2010,4
"2468298",171510,5,2010,0
"2468387",171630,2,2010,0
"2468689",171886,2,2010,0
"2468786",172130,1,2010,0
"2468840",172065,9,2010,0
"2468972",170255,2027,2010,1
"2468999",170740,12,2010,0
"2469227",171720,1,2010,0
"2469235",170510,1,2010,0
"2469278",171840,1,2010,0
"2469340",171050,129,2010,1
"2469367",170770,7,2010,1
